risk_name,category,subcategory,record_count,company_count,avg_exposure_score,max_exposure_score
房地产销售下滑,需求周期,房地产销售,1,1,3.0,3
房地产销售收入下滑,需求周期,销售收入,1,1,3.0,3
房地产需求下滑,需求周期,房地产行业周期,1,1,3.0,3
收入地域集中度与下降风险,需求周期,收入地域集中与萎缩,1,1,3.0,3
收入大幅下滑,需求周期,房地产销售下行,1,1,2.0,2
收入大幅波动,需求周期,销售波动,1,1,2.0,2
环保板块收入下滑,需求周期,环保业务,1,1,2.0,2
行业非良性循环财务压力,需求周期,行业周期,1,1,2.0,2
销售与结算规模下滑,需求周期,住宅销售,1,1,3.0,3
需求周期风险,需求周期,房地产市场下行,1,1,3.0,3
项目储备下降风险,需求周期,在建面积减少,1,1,2.0,2
预售款下降导致收入不确定性,需求周期,预售收入下降,1,1,2.0,2
风力发电收入下滑风险,需求周期,风电市场,1,1,2.0,2
